family,rmsle,mae,n
31,0.6615262278196158,39.71000195960259,864
21,0.6186770401313941,3.8121644201661633,864
13,0.584038901789146,10.077283432732012,864
6,0.5416655603155869,4.889252913228755,864
14,0.5271857318413431,1.061731485869155,864
19,0.5245966140640224,3.8671482818501888,864
23,0.5240586597310687,2.8940283090922376,864
0,0.5062824451125337,2.826214250836794,864
32,0.490015195457877,4.498349274214091,864
15,0.48051677126900083,10.817220976386794,864
2,0.47743528685127806,2.4345826664715897,864
27,0.46456399601062237,3.5006213943214126,864
16,0.4644101707752512,10.679581812261514,864
26,0.4620740822142847,2.6307293307360653,864
22,0.45063451226813706,26.315872471287918,864
20,0.4219576638824105,4.4761062728349215,864
17,0.33126071622733666,0.3680667987974591,864
10,0.2990484435990603,34.12894220816635,864
1,0.28172626461724715,0.23579358899036204,864
29,0.2729707229413619,14.883042896344588,864
7,0.27177116268041,247.99479149356915,864
11,0.26477413403249866,22.70988586828129,864
3,0.22186213706173752,518.0132770451704,864
18,0.2217302671307044,51.51010489079293,864
25,0.21816378042878756,50.14707450334259,864
24,0.21415723824395844,51.44184996601552,864
28,0.20117465776415625,50.19222702797976,864
9,0.17977227232692594,39.11711012709899,864
5,0.17276834555861204,63.616038718671746,864
12,0.1562681982038944,531.3504071321317,864
8,0.14676102935464608,93.49567663037452,864
30,0.13657723259606777,202.07274654888238,864
4,0.08707721679677909,0.04667450837699241,864
