day_of_week,rmsle,day_name
0,0.3978961274025999,Mon
1,0.3934231810959881,Tue
2,0.3874859286769667,Wed
3,0.3834221418979777,Thu
4,0.4034850149422241,Fri
5,0.3930120464177765,Sat
6,0.3987700555670289,Sun
